STUDBME1,STUDBME2,STUDBME3,CMP-lab1,CMP_LAB1,Sbme-Staff,CUFE,bdawy,CIVil-2022,Location
-54.0,-49.0,-100.0,-100.0,-100.0,-100.0,-76.0,-78.0,-70.0,class2
-59.0,-42.0,-100.0,-66.0,-66.0,-100.0,-100.0,-80.0,-100.0,class2
-56.0,-42.0,-100.0,-100.0,-64.0,-100.0,-100.0,-100.0,-100.0,class2
-54.0,-50.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,class2
-56.0,-100.0,-100.0,-67.0,-69.0,-100.0,-100.0,-81.0,-66.0,class2
-56.0,-45.0,-100.0,-66.0,-71.0,-100.0,-82.0,-100.0,-69.0,class2
-65.0,-51.0,-100.0,-100.0,-69.0,-100.0,-75.0,-94.0,-66.0,class2
-62.0,-51.0,-100.0,-56.0,-68.0,-100.0,-100.0,-80.0,-100.0,class2
-60.0,-42.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-69.0,class2
-65.0,-55.0,-100.0,-58.0,-100.0,-100.0,-78.0,-86.0,-100.0,class2
-64.0,-56.0,-100.0,-62.0,-100.0,-100.0,-100.0,-100.0,-67.0,class2
-100.0,-53.0,-100.0,-100.0,-73.0,-100.0,-100.0,-79.0,-100.0,class2
-58.0,-51.0,-100.0,-63.0,-100.0,-100.0,-79.0,-84.0,-100.0,class2
-63.0,-53.0,-100.0,-62.0,-100.0,-100.0,-76.0,-81.0,-62.0,class2
-63.0,-51.0,-100.0,-100.0,-100.0,-100.0,-79.0,-92.0,-65.0,class2
-59.0,-59.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,class2
-100.0,-51.0,-100.0,-70.0,-100.0,-100.0,-100.0,-87.0,-70.0,class2
-59.0,-57.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,class2
-57.0,-50.0,-100.0,-77.0,-68.0,-100.0,-77.0,-88.0,-77.0,class2
-55.0,-51.0,-100.0,-64.0,-100.0,-100.0,-100.0,-87.0,-73.0,class2
-55.0,-51.0,-100.0,-68.0,-72.0,-100.0,-78.0,-85.0,-70.0,class2
-53.0,-50.0,-100.0,-100.0,-65.0,-100.0,-100.0,-81.0,-100.0,class2
-55.0,-42.0,-100.0,-63.0,-65.0,-100.0,-73.0,-89.0,-100.0,class2
-59.0,-58.0,-100.0,-65.0,-67.0,-100.0,-76.0,-87.0,-100.0,class2
-56.0,-59.0,-100.0,-100.0,-70.0,-100.0,-100.0,-86.0,-100.0,class2
-55.0,-51.0,-100.0,-100.0,-67.0,-100.0,-100.0,-89.0,-73.0,class2
-52.0,-57.0,-100.0,-66.0,-72.0,-100.0,-100.0,-100.0,-69.0,class2
-66.0,-55.0,-100.0,-65.0,-69.0,-100.0,-100.0,-84.0,-63.0,class2
-59.0,-51.0,-100.0,-100.0,-69.0,-100.0,-80.0,-100.0,-70.0,class2
-53.0,-54.0,-100.0,-100.0,-63.0,-100.0,-100.0,-100.0,-70.0,class2
-35.0,-48.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,class2
-57.0,-49.0,-100.0,-100.0,-69.0,-100.0,-78.0,-85.0,-70.0,class2
-58.0,-56.0,-100.0,-68.0,-68.0,-100.0,-100.0,-100.0,-74.0,class2
-61.0,-52.0,-100.0,-100.0,-66.0,-100.0,-100.0,-89.0,-71.0,class2
-57.0,-42.0,-100.0,-74.0,-100.0,-88.0,-100.0,-100.0,-100.0,class2
-63.0,-49.0,-100.0,-68.0,-100.0,-100.0,-100.0,-86.0,-76.0,class2
-57.0,-45.0,-100.0,-100.0,-68.0,-100.0,-75.0,-86.0,-100.0,class2
-59.0,-52.0,-100.0,-65.0,-68.0,-100.0,-100.0,-100.0,-100.0,class2
-59.0,-50.0,-100.0,-76.0,-100.0,-100.0,-100.0,-89.0,-78.0,class2
-100.0,-52.0,-100.0,-100.0,-74.0,-100.0,-100.0,-86.0,-71.0,class2
-64.0,-49.0,-100.0,-71.0,-100.0,-100.0,-74.0,-86.0,-74.0,class2
-64.0,-41.0,-100.0,-71.0,-69.0,-100.0,-100.0,-86.0,-100.0,class2
-51.0,-52.0,-100.0,-100.0,-74.0,-100.0,-100.0,-86.0,-100.0,class2
-64.0,-51.0,-95.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,class2
-46.0,-100.0,-100.0,-71.0,-70.0,-100.0,-100.0,-93.0,-100.0,class2
-65.0,-100.0,-100.0,-72.0,-100.0,-100.0,-78.0,-86.0,-100.0,class2
-100.0,-64.0,-100.0,-100.0,-67.0,-100.0,-100.0,-87.0,-100.0,class2
-100.0,-39.0,-100.0,-62.0,-66.0,-100.0,-100.0,-87.0,-68.0,class2
-100.0,-37.0,-100.0,-61.0,-59.0,-100.0,-77.0,-77.0,-100.0,class2
-59.0,-36.0,-100.0,-62.0,-67.0,-100.0,-72.0,-83.0,-100.0,class2
-60.0,-35.0,-100.0,-60.0,-66.0,-100.0,-100.0,-87.0,-68.0,class2
-69.0,-41.0,-100.0,-60.0,-65.0,-100.0,-100.0,-77.0,-62.0,class2
-67.0,-39.0,-100.0,-62.0,-100.0,-100.0,-100.0,-78.0,-70.0,class2
-64.0,-39.0,-100.0,-66.0,-71.0,-100.0,-100.0,-100.0,-67.0,class2
-100.0,-37.0,-100.0,-60.0,-65.0,-100.0,-79.0,-82.0,-64.0,class2
-100.0,-41.0,-100.0,-65.0,-100.0,-100.0,-100.0,-84.0,-66.0,class2
-69.0,-100.0,-100.0,-62.0,-100.0,-100.0,-100.0,-81.0,-69.0,class2
-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,class3
-37.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,class3
-34.0,-76.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,class3
-39.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,class3
-38.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,class3
-35.0,-69.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,class3
-38.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,class3
-42.0,-62.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,class3
-56.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,class3
-57.0,-75.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,class3
-39.0,-71.0,-100.0,-100.0,-80.0,-88.0,-100.0,-100.0,-100.0,class3
-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-84.0,class3
-35.0,-69.0,-100.0,-86.0,-77.0,-100.0,-88.0,-100.0,-87.0,class3
-41.0,-68.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,class3
